Set,PPG-MAE,BCG-MAE,rPPG-MAE,PPG-SDE,BCG-SDE,rPPG-SDE,PPG-MSE,BCG-MSE,rPPG-MSE,PPG-RMSE,BCG-RMSE,rPPG-RMSE,PPG-PCC,BCG-PCC,rPPG-PCC
s29,0.239957847,4.93855459,7.160874016,0.480264343,4.059598953,3.490962664,0.273514329,40.33532231,63.464937,0.522985974,6.35100955,7.966488373,0.996490038,0.727753717,0.806587246
s29_talk,1.654493672,9.480407088,9.039739325,2.342268743,3.384101979,3.861937405,8.223159036,101.3302648,96.63144759,2.867605105,10.0662935,9.830129582,0.939460421,0.849194423,0.791498859
s30,0.394751492,4.028591072,3.305707046,0.734830494,1.814344549,2.080426002,0.66787169,19.52139217,15.24811796,0.817234171,4.418301955,3.90488386,0.960403066,0.822620166,0.811359882
s30_talk,0.948269024,2.348706908,3.233581489,1.158564869,2.972322248,2.766400604,1.756340575,9.972170993,14.69952156,1.325270001,3.157874442,3.833995509,0.937794294,0.644196443,0.845809973
s31,0.041568402,1.464685386,1.236843645,0.048150117,2.077188707,1.830108883,0.002474288,4.423304984,4.833802261,0.049742216,2.103165468,2.198590972,0.999928243,0.855665367,0.899004111
s31_talk,0.420241107,5.209703958,1.389968584,0.739033624,6.24945313,1.407963322,0.668950311,41.45297852,3.861401105,0.817893826,6.438398755,1.96504481,0.992487159,0.049196334,0.959195827
s32,1.468421991,4.286546955,2.57440408,3.014950372,6.286685964,2.933222372,11.18687108,40.35623603,10.78748818,3.344678024,6.352655825,3.284431181,0.884424137,0.302607108,0.900684381
s32_talk,1.4720243,7.987533892,5.369687448,2.331702479,8.932148767,6.072627957,7.542798714,106.4590078,61.59446908,2.746415612,10.31789745,7.848214388,0.960939151,0.018417568,0.586707133
s33,0.032695024,1.009795472,3.711776541,0.038408872,0.68080915,2.440811643,0.001483943,1.145534476,19.73484657,0.038521984,1.070296443,4.442391987,0.999967264,0.989641131,0.87699758
s33_talk,1.114435285,4.980956679,4.202368223,1.79153891,3.703702858,5.660186849,3.374190497,37.89229019,35.00366528,1.836896975,6.155671384,5.916389548,0.972394578,0.841498123,0.624044583
s34,0.012703113,1.087989777,0.73956989,0.014963291,0.682284831,0.882446167,0.000261728,1.317388744,1.283391989,0.016178003,1.147775563,1.13286892,0.999994319,0.98869475,0.98005711
s34_talk,0.562419843,6.337749072,1.152808474,0.921808226,1.964633551,1.104988473,1.134512009,44.02684829,2.438757702,1.065134738,6.635273038,1.561652235,0.970751953,0.858346898,0.970375219
s35,0.415717503,14.30226914,4.818627236,0.719661148,3.628402396,2.164626551,0.664407633,217.7202065,27.90477654,0.815112037,14.75534501,5.282497188,0.849924025,0.805276835,0.565583274
s35_talk,0.099202717,7.893595663,5.149558467,0.127386636,5.024179471,2.688666863,0.018333631,78.83750528,33.74688191,0.135401738,8.87904867,5.809206651,0.9995585,0.241543438,0.801078638
s36,0.028452827,6.924186716,1.902943468,0.032802115,3.331770076,1.925262181,0.001126123,59.04505352,7.275955619,0.033557752,7.684077922,2.697397935,0.999905698,0.485514108,0.741138699
s36_talk,0.054034601,5.823492466,6.073866207,0.069545139,2.834143908,3.426118736,0.004936826,41.94543619,48.6301403,0.070262552,6.476529641,6.973531408,0.999838237,0.718623772,0.890921944
s37,0.022722826,0.905452544,0.063888919,0.026265753,0.841465573,0.078274269,0.001072661,0.959835928,0.006126948,0.032751507,0.979712166,0.078274821,0.999979859,0.978245019,0.999829128
s37_talk,0.35659056,3.721999153,0.06147598,0.68917117,2.164961504,0.074108805,0.586964184,17.54854666,0.00549875,0.766135878,4.18909855,0.074153554,0.990100823,0.885291915,0.999845657
s38,0.076928771,2.482025389,1.119743293,0.099470614,3.887014691,1.331263347,0.010042401,16.81356093,2.859950299,0.100211781,4.100434236,1.691138758,0.999873362,0.835655119,0.977033331
s38_talk,0.053843853,9.215569695,7.591687819,0.064332019,5.99310429,4.837715895,0.005139222,120.8440238,81.03721901,0.071688365,10.99290789,9.002067486,0.999964766,0.631295239,0.743549259
s39,0.022917177,11.74993141,9.770552142,0.032197223,3.337352068,2.722484811,0.001037728,149.198807,102.8756127,0.032213793,12.21469635,10.14276159,0.99965267,0.097899315,0.568043802
s39_talk,1.226153472,10.93001562,7.885134701,1.696518228,2.857714149,4.437501197,3.043215398,127.6317715,81.86676612,1.744481412,11.29742323,9.048025537,0.87334998,0.724236194,0.417557442
s40,0.039073167,3.773766775,0.807547702,0.044356251,1.955554615,0.880927744,0.002231623,18.06550952,1.396868694,0.047240056,4.250354047,1.181891998,0.999869739,0.865510381,0.966606229
s40_talk,7.992282173,6.601905921,1.543872287,5.174788487,5.554881963,1.958775362,90.65501023,57.08199466,3.859018486,9.521292466,7.555262713,1.964438466,0.372144132,0.310954658,0.920383906
s41,0.389859181,2.200887476,1.139573719,0.725854886,1.790684784,1.671900264,0.656175938,7.109570893,2.929230961,0.810046874,2.66637786,1.711499624,0.983027432,0.880326444,0.911874076
s41_talk,1.439231568,2.545429542,0.095015671,2.006379081,2.782418018,0.107105983,6.062090277,10.88593152,0.01599084,2.462131247,3.299383506,0.126454893,0.77977375,0.741694329,0.999386615
s42,7.277593031,1.663581926,1.887961263,4.994272761,1.769959069,2.746867499,77.90612073,3.715059486,7.781001895,8.826444399,1.927448958,2.789444729,0.161710842,0.926992993,0.82571744
s42_talk,6.917040496,14.95669507,3.696841524,4.73966754,7.19417772,4.774537349,70.3098976,275.4589205,28.71382539,8.385099737,16.59695516,5.358528286,0.444763606,0.809508458,0.539475643
s43,0.044880682,2.930056918,1.335605752,0.055429471,1.573663609,1.696241826,0.003305053,11.02847666,3.454799855,0.057489594,3.320915033,1.858709191,0.99982516,0.871014465,0.814363957
s43_talk,0.383759773,2.984333517,0.871244563,0.717302131,4.451881362,1.180079317,0.643247683,20.8867208,1.908680015,0.802027233,4.570199208,1.38154986,0.994607273,0.63492955,0.98064271
s44,0.031888055,6.219605995,4.055164083,0.041162541,3.007250102,4.121444149,0.001694368,47.08275219,29.4391514,0.041162704,6.86168727,5.425785787,0.999921358,0.614331066,0.629110608
s44_talk,0.036892494,6.324367812,1.52268142,0.043279764,6.807726237,1.905869864,0.002040215,48.35311684,4.035850581,0.045168743,6.953640546,2.008942652,0.999978416,0.195401433,0.956587029
